0.01043+0.092568i,0.056947+0.07372i,0.086933+0.033471i,0.091682-0.016494i,0.069816-0.061671i,0.027682-0.088945i,-0.022487-0.090399i,-0.066128-0.06561i,-0.10201-0.044068i,-0.11007+0.015261i,-0.086178+0.07016i,-0.037265+0.10469i,0.022465+0.10883i,0.075674+0.081378i,0.10692+0.030301i,0.10712-0.029572i,0.098719-0.081048i,0.042336-0.12051i,-0.026337-0.12498i,-0.087364-0.093176i,-0.12303-0.034321i,-0.12298+0.034497i,-0.08723+0.093301i,-0.026157+0.12502i,0.036015+0.13576i,0.10123+0.097368i,0.13706+0.03071i,0.1331-0.044863i,0.090501-0.10741i,0.021632-0.13878i,-0.053517-0.12986i,-0.11313-0.083243i,-0.14485-0.019173i,-0.13378+0.05877i,-0.083865+0.11965i,-0.0096075+0.1458i,0.067439+0.12962i,0.12491+0.075816i,0.14612,0.12491-0.075816i,0.068662-0.12421i,-0.0057562-0.14181i,-0.078503-0.11824i,-0.12846-0.060346i,-0.14113+0.015068i,-0.11282+0.086108i,-0.051769+0.13215i,0.024315+0.13983i,0.080155+0.098069i,0.11941+0.042244i,0.12399-0.025844i,0.092587-0.08643i,0.034302-0.12193i,-0.033941-0.12203i,-0.092331-0.086704i,-0.12392-0.026211i,-0.09839+0.026723i,-0.070243+0.073896i,-0.021705+0.099617i,0.033134+0.09642i,0.078354+0.065232i,0.10083+0.015108i,0.094033-0.039402i,0.059939-0.082474i
-0.019334-0.090152i,-0.063305-0.067034i,-0.088899-0.024457i,-0.088685+0.02522i,-0.062727+0.067576i,-0.018559+0.090315i,0.030997+0.086835i,0.071554+0.058148i,0.081173+0.082497i,0.1122+0.028404i,0.11065-0.033934i,0.076981-0.086421i,0.020966-0.11382i,-0.041136-0.10818i,-0.091296-0.071132i,-0.11495-0.013436i,-0.13116-0.028913i,-0.12713+0.043341i,-0.086187+0.10301i,-0.020226+0.13278i,0.051606+0.124i,0.10846+0.079228i,0.13382+0.011452i,0.12034-0.059648i,0.13458-0.052616i,0.087744-0.11481i,0.015437-0.14367i,-0.061351-0.13083i,-0.12033-0.080005i,-0.14438-0.0059572i,-0.12651+0.06982i,-0.07192+0.12533i,-0.083494+0.11912i,-0.009565+0.14516i,0.067141+0.12905i,0.12436+0.075481i,0.14547,0.12436-0.075481i,0.067141-0.12905i,-0.009565-0.14516i,0.0029188-0.13728i,-0.068734-0.11887i,-0.12043-0.065949i,-0.13717+0.0061137i,-0.11409+0.076401i,-0.057887+0.12451i,0.01512+0.13647i,0.083737+0.10882i,0.063939+0.10211i,0.10764+0.054115i,0.1201-0.0095927i,0.097687-0.070515i,0.04692-0.11097i,-0.017469-0.11921i,-0.076786-0.092839i,-0.11381-0.039522i,-0.088869-0.041902i,-0.097712+0.010292i,-0.078189+0.059498i,-0.035968+0.091432i,0.016694+0.096823i,0.06451+0.074107i,0.093599+0.029878i,0.095516-0.023025i
-0.12494+0.004724i,-0.10436+0.068867i,-0.053475+0.11302i,0.012929+0.12436i,0.07558+0.099602i,0.11629+0.045928i,0.12324-0.021078i,0.094417-0.081965i,0.062869-0.10816i,-0.0023758-0.12508i,-0.066931-0.10569i,-0.11206-0.055621i,-0.12465+0.010595i,-0.10106+0.073735i,-0.048133+0.11547i,0.018768+0.12368i,0.05777+0.11104i,0.107+0.064946i,0.12517,0.107-0.064946i,0.05777-0.11104i,-0.00823-0.1249i,-0.071841-0.1025i,-0.1146-0.050344i,-0.1246-0.010501i,-0.11196+0.055676i,-0.066824+0.10569i,-0.0022852+0.12502i,0.062917+0.10806i,0.10986+0.05973i,0.1249-0.0059402i,0.10369-0.069886i,0.07532-0.099697i,0.012657-0.12431i,-0.05368-0.11283i,-0.10443-0.068601i,-0.12487-0.004456i,-0.10906+0.060983i,-0.061586+0.10872i,0.0037641+0.12489i,0.044063+0.11685i,0.0983+0.07703i,0.124+0.014844i,0.1137-0.051651i,0.0704-0.10315i,0.006659-0.12471i,-0.059015-0.11006i,-0.10756-0.063466i,-0.12235-0.025313i,-0.11773+0.041847i,-0.078927+0.096859i,-0.017214+0.12375i,0.049497+0.11472i,0.10184+0.072388i,0.12462+0.0090394i,0.11122-0.056933i,0.086746-0.089828i,0.027545-0.1218i,-0.039651-0.11841i,-0.095337-0.080651i,-0.12335-0.019477i,-0.11555+0.047352i,-0.074208+0.10043i,-0.011325+0.12436i
-0.082829+0.11818i,-0.0094888+0.144i,0.066606+0.12802i,0.12337+0.07488i,0.14431,0.12337-0.07488i,0.066606-0.12802i,-0.0094888-0.144i,0.099638-0.073296i,0.047144-0.11436i,-0.019035-0.12222i,-0.079689-0.094603i,-0.11721-0.039523i,-0.1207+0.02703i,-0.089158+0.085737i,-0.031731+0.11955i,-0.11649+0.028247i,-0.084923+0.08459i,-0.028705+0.11638i,0.035846+0.11438i,0.089991+0.079178i,0.11801+0.020991i,0.11177-0.043289i,0.073089-0.095002i,0.10565+0.022504i,0.10199-0.03558i,0.068725-0.083336i,0.015509-0.1069i,-0.042209-0.09943i,-0.087674-0.063097i,-0.10769-0.0084467i,-0.09644+0.048656i,-0.057808-0.091465i,-0.096876-0.048194i,-0.10782+0.0090673i,-0.087466+0.063697i,-0.04172+0.099835i,0.016137+0.10699i,0.06931+0.083089i,0.10236+0.035066i,0.014981+0.12157i,0.075884+0.096148i,0.11476+0.042818i,0.12032-0.022942i,0.09095-0.082042i,0.03518-0.11733i,-0.030803-0.11855i,-0.087845-0.085359i,0.031625-0.12153i,-0.036025-0.1203i,-0.093217-0.084147i,-0.12335-0.023566i,-0.11767+0.043857i,-0.077836+0.098548i,-0.015404+0.12463i,0.051499+0.11453i,-0.079178+0.1187i,-0.0060975+0.14255i,0.068753+0.12502i,0.12365+0.071203i,0.14264-0.0032886i,0.12023-0.076825i,0.062919-0.12806i,-0.012661-0.14212i
0.043267+0.11431i,0.0963+0.07527i,0.12138+0.014377i,0.11122-0.05069i,0.068775-0.10104i,0.0063649-0.12206i,-0.057893-0.10765i,-0.10534-0.061982i,-0.12015+0.031184i,-0.08653+0.089i,-0.027791+0.12098i,0.039016+0.11784i,0.094497+0.080491i,0.12254+0.019776i,0.11502-0.04668i,0.074103-0.099584i,-0.018363-0.12415i,-0.080118-0.096605i,-0.11861-0.041012i,-0.12268+0.026487i,-0.091128+0.086297i,-0.033124+0.12105i,0.034496+0.12067i,0.092102+0.085257i,0.12621-0.0050941i,0.10525-0.069844i,0.053734-0.11432i,-0.013382-0.12561i,-0.076614-0.10043i,-0.1176-0.046102i,-0.12446+0.021612i,-0.095177+0.083051i,-0.0083209+0.12628i,0.058408+0.11227i,0.10818+0.065664i,0.12655,0.10818-0.065664i,0.058408-0.11227i,-0.0083209-0.12628i,-0.072635-0.10363i,-0.12434-0.021573i,-0.11748+0.046074i,-0.076525+0.10035i,-0.013351+0.12549i,0.053699+0.1142i,0.10516+0.069761i,0.12609+0.0050712i,0.11042-0.061091i,0.034359-0.12045i,-0.033127-0.1208i,-0.090997-0.086075i,-0.12245-0.026365i,-0.11836+0.040998i,-0.079905+0.09646i,-0.018257+0.12392i,0.048692+0.11541i,0.11473+0.046392i,0.12215-0.019872i,0.094108-0.080367i,0.038748-0.11753i,-0.02786-0.12058i,-0.086381-0.08862i,-0.11983-0.030937i,-0.11848+0.035728i
0.084269+0.089602i,0.11853+0.032871i,0.11838-0.033402i,0.083867-0.089978i,0.025007-0.12043i,-0.041113-0.11593i,-0.095298-0.07777i,-0.12182-0.017034i,-0.078756-0.096148i,-0.11721-0.041328i,-0.12164+0.025489i,-0.090761+0.084907i,-0.033531+0.11968i,0.033433+0.1197i,0.090691+0.084982i,0.12162+0.02559i,0.072506+0.10209i,0.11495+0.049647i,0.12403-0.017204i,0.097099-0.079062i,0.041982-0.11797i,-0.025322-0.12263i,-0.085275-0.09169i,-0.12047-0.034134i,-0.065607-0.10732i,-0.11177-0.057705i,-0.12549+0.0086662i,-0.10278+0.072522i,-0.050231+0.11532i,0.016899+0.12465i,0.079122+0.097788i,0.11838+0.042539i,0.058155+0.11178i,0.10771+0.065379i,0.126,0.10771-0.065379i,0.058155-0.11178i,-0.0082848-0.12573i,-0.072319-0.10318i,-0.11536-0.050679i,-0.050261-0.11538i,-0.10283-0.072555i,-0.12555-0.0086662i,-0.11183+0.057738i,-0.065636+0.10738i,-0.00039206+0.12585i,0.064966+0.10779i,0.11146+0.058434i,0.042042+0.11808i,0.09721+0.07913i,0.12416+0.017205i,0.11506-0.049715i,0.072567-0.1022i,0.0090039-0.12502i,-0.057173-0.11155i,-0.10675-0.06569i,-0.033622-0.11985i,-0.09093-0.085011i,-0.12184-0.025491i,-0.11738+0.041429i,-0.078849+0.096323i,-0.017424+0.12325i,0.049058+0.11441i,0.1013+0.072345i
0.12201+0.026556i,0.11808-0.040604i,0.079868-0.095976i,0.018476-0.12349i,-0.04828-0.11515i,-0.10102-0.073385i,-0.12443-0.010317i,-0.11173+0.055747i,-0.12281-0.023206i,-0.11702+0.043884i,-0.077268+0.098236i,-0.015081+0.12407i,0.051484+0.11389i,0.1031+0.070642i,0.12479+0.0068908i,0.11025-0.058861i,0.12348+0.019824i,0.11584-0.047124i,0.074578-0.10039i,0.011662-0.12452i,-0.054639-0.1125i,-0.10508-0.067816i,-0.12502-0.0034499i,-0.10866+0.061918i,-0.12402-0.016416i,-0.11454+0.050318i,-0.071803+0.10244i,-0.0082257+0.12483i,0.05774+0.11098i,0.10694+0.064912i,0.1251,0.10694-0.064912i,0.12443+0.012987i,0.1131-0.053459i,0.068948-0.10439i,0.0047773-0.12501i,-0.06078-0.10934i,-0.10869-0.061935i,-0.12505+0.0034526i,-0.10511+0.067838i,-0.12469-0.009543i,-0.11155+0.056543i,-0.066018+0.10621i,-0.0013235+0.12505i,0.063755+0.10759i,0.11033+0.058891i,0.12487-0.0069018i,0.10316-0.070691i,0.12483+0.0060911i,0.10987-0.059563i,0.063017-0.10793i,-0.0021297-0.12496i,-0.066658-0.10572i,-0.11184-0.055784i,-0.12455+0.010341i,-0.1011+0.073465i,-0.12483-0.0026372i,-0.10808+0.062514i,-0.059952+0.10952i,0.005576+0.12473i,0.069485+0.10373i,0.11322+0.052621i,0.12409-0.013765i,0.098938-0.076155i
0.014431-0.14333i,-0.062031-0.13001i,-0.12049-0.078953i,-0.14396-0.0049758i,-0.12565+0.070445i,-0.070859+0.12542i,0.0045008+0.14398i,0.078555+0.12075i,0.019709-0.026665i,0.0030121-0.033021i,-0.014559-0.029791i,-0.027903-0.017913i,-0.033148-0.00083436i,-0.028769+0.016486i,-0.016039+0.029021i,0.001347+0.033131i,0.16921,0.14465-0.0878i,0.078099-0.15011i,-0.011126-0.16885i,-0.097121-0.13857i,-0.15492-0.06806i,-0.16775+0.022204i,-0.13188+0.10602i,0.08942-0.06195i,0.044297-0.099356i,-0.013686-0.10792i,-0.067696-0.085153i,-0.10205-0.037668i,-0.10679+0.020752i,-0.080518+0.073148i,-0.030876+0.10431i,0.018296+0.11135i,0.073416+0.085691i,0.10722+0.03516i,0.1099-0.025578i,0.080679-0.078891i,0.028034-0.1093i,-0.032749-0.10798i,-0.084025-0.075317i,0.11728+0.12122i,0.16316+0.042769i,0.16167-0.048096i,0.11324-0.125i,0.031949-0.16562i,-0.058621-0.15815i,-0.13217-0.10478i,-0.16736-0.02099i,-0.013885+0.02527i,0.0012421+0.028807i,0.016009+0.023981i,0.026128+0.012194i,0.028663-0.0031335i,0.022877-0.017551i,0.010449-0.026873i,-0.0050113-0.028395i,-0.10385+0.099425i,-0.037187+0.13888i,0.040271+0.13802i,0.10604+0.097088i,0.14102+0.027975i,0.13507-0.049259i,0.089905-0.11219i,0.018642-0.14256i
-0.12083+0.024121i,-0.090772+0.083313i,-0.034368+0.11832i,0.032013+0.11898i,0.089101+0.085097i,0.12032+0.026513i,0.11662-0.039767i,0.079055-0.094503i,0.1277+0.0054583i,0.112-0.061596i,0.063783-0.11077i,-0.0029503-0.12779i,-0.068827-0.10771i,-0.11472-0.056362i,-0.12732+0.011346i,-0.10295+0.07576i,-0.12171-0.034672i,-0.12203+0.033513i,-0.086933+0.091969i,-0.026595+0.12373i,0.041464+0.11957i,0.097486+0.080698i,0.12521+0.018402i,0.11658-0.049236i,0.10505+0.06501i,0.12354+0.0010647i,0.10616-0.06319i,0.057962-0.1091i,-0.0070604-0.12334i,-0.070033-0.10177i,-0.11268-0.050663i,-0.12261+0.015155i,-0.083293-0.093498i,-0.11972-0.036708i,-0.12139+0.030737i,-0.087819+0.08926i,-0.028757+0.12187i,0.038652+0.1191i,0.094841+0.08176i,0.1235+0.020682i,0.059128+0.11365i,0.10951+0.066473i,0.12811,0.10951-0.066473i,0.059128-0.11365i,-0.0084234-0.12783i,-0.07353-0.10491i,-0.11729-0.051528i,-0.030918-0.12167i,-0.08956-0.087965i,-0.1222-0.028727i,-0.11937+0.038851i,-0.081886+0.09515i,-0.02063+0.12383i,0.046616+0.11656i,0.10033+0.075452i,-0.0022978+0.11978i,0.060187+0.10359i,0.1052+0.057322i,0.11967-0.005583i,0.099405-0.066867i,0.050281-0.10874i,-0.01344-0.11905i,-0.073259-0.094794i
0.1219+0.02251i,0.11588-0.044007i,0.07623-0.097749i,0.014447-0.12311i,-0.051531-0.11274i,-0.10255-0.069638i,-0.1238-0.0063203i,-0.10911+0.058832i,0.028669+0.12327i,0.08847+0.090504i,0.12259+0.031463i,0.12112-0.036712i,0.084491-0.09423i,0.023334-0.12439i,-0.044596-0.11844i,-0.099581-0.078113i,-0.10215+0.07507i,-0.04837+0.11718i,0.01945+0.12527i,0.081624+0.096991i,0.1201+0.040561i,0.12372-0.027645i,0.091415-0.087825i,0.032576-0.12251i,-0.095426-0.071179i,-0.11851-0.011333i,-0.10719+0.051802i,-0.06475+0.0999i,-0.0035166+0.119i,0.058738+0.10355i,0.10394+0.058042i,0.11897-0.0043153i,0.038589-0.11454i,-0.026443-0.11794i,-0.083799-0.087097i,-0.11683-0.030974i,-0.11594+0.034141i,-0.081399+0.089345i,-0.023226+0.11861i,0.04169+0.11345i,0.13035,0.11143-0.067634i,0.060161-0.11563i,-0.0085706-0.13007i,-0.074814-0.10674i,-0.11934-0.052428i,-0.12922+0.017104i,-0.10159+0.081671i,0.052929+0.117i,0.10595+0.072553i,0.12822+0.0070458i,0.11327-0.060507i,0.06543-0.11049i,-0.0014002-0.12841i,-0.067824-0.10904i,-0.11456-0.058023i,-0.082184+0.092359i,-0.022332+0.1216i,0.044002+0.11553i,0.097563+0.075934i,0.1228+0.014289i,0.11239-0.051504i,0.069354-0.10234i,0.0061836-0.12348i
-0.073733+0.099498i,-0.011404+0.12331i,0.054236+0.11133i,0.10413+0.067031i,0.1238+0.0032709i,0.10753-0.061439i,0.060039-0.10831i,-0.0048761-0.12374i,0.13273,0.11347-0.068871i,0.061262-0.11775i,-0.0087274-0.13245i,-0.076183-0.10869i,-0.12152-0.053387i,-0.13159+0.017417i,-0.10345+0.083165i,-0.079085-0.1017i,-0.12037-0.045903i,-0.12672+0.023219i,-0.096279+0.085601i,-0.037889+0.12313i,0.031501+0.12492i,0.091746+0.090442i,0.12536+0.02971i,-0.017801+0.11697i,0.045473+0.10923i,0.095547+0.069777i,0.11788+0.010072i,0.106-0.052556i,0.063343-0.099928i,0.0022993-0.11829i,-0.059412-0.10231i,0.088027-0.074037i,0.036834-0.10897i,-0.025051-0.11226i,-0.079665-0.082968i,-0.11115-0.02959i,-0.11037+0.032379i,-0.077551+0.084947i,-0.022217+0.11286i,-0.12273-0.0078044i,-0.10897+0.057012i,-0.06357+0.10528i,0.00028241+0.12298i,0.064053+0.10498i,0.10923+0.05651i,0.1227-0.008368i,0.10055-0.070817i,0.077159+0.105i,0.12044+0.049725i,0.12876-0.019986i,0.099702-0.083896i,0.041699-0.12345i,-0.028409-0.12717i,-0.09027-0.09397i,-0.12593-0.033491i,0.037181-0.12139i,-0.031199-0.12306i,-0.090523-0.089009i,-0.12357-0.029119i,-0.12074+0.039223i,-0.082864+0.096179i,-0.020932+0.12521i,0.047077+0.1179i
0.11677-0.036749i,0.080755-0.092005i,0.021295-0.12055i,-0.044348-0.1141i,-0.097116-0.074531i,-0.12169-0.013322i,-0.11094+0.051754i,-0.067984+0.10181i,-0.12369+0.019909i,-0.095407+0.081199i,-0.039427+0.11892i,0.027998+0.12211i,0.087296+0.089862i,0.12125+0.031523i,0.12001-0.035967i,0.083927-0.093016i,0.12709-0.0017871i,0.10772-0.067472i,0.057072-0.11357i,-0.01014-0.1267i,-0.074408-0.10305i,-0.11708-0.049481i,-0.12576+0.018448i,-0.097931+0.081023i,-0.12674-0.016776i,-0.11705+0.051421i,-0.073378+0.10469i,-0.0084061+0.12757i,0.059006+0.11341i,0.10929+0.066336i,0.12785,0.10929-0.066336i,0.12262+0.034904i,0.12294-0.033788i,0.08756-0.092672i,0.026766-0.12465i,-0.041799-0.12045i,-0.098229-0.081277i,-0.12614-0.018512i,-0.11744+0.049628i,-0.11495-0.051745i,-0.12511+0.015408i,-0.098956+0.078088i,-0.044075+0.1181i,0.023601+0.12383i,0.084426+0.093607i,0.12074+0.036214i,0.12201-0.031692i,0.10411+0.066524i,0.12352+0.002846i,0.10707-0.061658i,0.059535-0.10826i,-0.0052818-0.12344i,-0.068565-0.10278i,-0.11194-0.052287i,-0.12283+0.013387i,-0.090718-0.078601i,-0.11833-0.020121i,-0.1116+0.0442i,-0.072466+0.095689i,-0.012297+0.1194i,0.051442+0.10845i,0.10025+0.066017i,0.11995+0.0044196i
-0.064395-0.079256i,-0.096172-0.034339i,-0.10003+0.020546i,-0.07485+0.069467i,-0.027941+0.098221i,0.027079+0.098463i,0.074238+0.070121i,0.099846+0.021423i,0.03058+0.11647i,0.086573+0.083694i,0.11743+0.026625i,0.1142-0.038172i,0.07782-0.091888i,0.018846-0.11893i,-0.045598-0.11145i,-0.096806-0.07161i,0.023362-0.13237i,-0.048711-0.12528i,-0.10664-0.081818i,-0.13362-0.014608i,-0.1218+0.056843i,-0.074629+0.11179i,-0.0057908+0.13429i,0.064729+0.1178i,-0.081456+0.11622i,-0.0093314+0.14161i,0.065502+0.1259i,0.12132+0.073638i,0.14192,0.12132-0.073638i,0.065502-0.1259i,-0.0093314-0.14161i,0.12288-0.070397i,0.068517-0.12394i,-0.0057366-0.1415i,-0.078325-0.11799i,-0.12818-0.060219i,-0.14082+0.015028i,-0.11258+0.085913i,-0.051661+0.13186i,-0.133+0.010903i,-0.10804+0.078332i,-0.051715+0.12302i,0.019625+0.132i,0.085267+0.10266i,0.12616+0.043514i,0.13042-0.028261i,0.096828-0.091832i,0.11137+0.040982i,0.11647-0.022755i,0.08776-0.079887i,0.033571-0.11383i,-0.030364-0.11472i,-0.085484-0.082317i,-0.11579-0.026014i,-0.11248+0.037842i,-0.070743-0.070085i,-0.09684-0.023206i,-0.094825+0.03041i,-0.065282+0.075198i,-0.016788+0.098156i,0.036579+0.09262i,0.079328+0.060196i,0.099048+0.010298i
0.062643+0.10774i,0.10945+0.059596i,0.12449-0.0058458i,0.10339-0.069591i,0.052271-0.11313i,-0.014019-0.12383i,-0.076238-0.098587i,-0.11633-0.044719i,0.082658-0.094528i,0.021612-0.1237i,-0.045707-0.11696i,-0.099758-0.076263i,-0.12485-0.013432i,-0.1137+0.053299i,-0.069539+0.10456i,-0.0051939+0.12546i,-0.11438-0.023156i,-0.10979+0.039554i,-0.073333+0.090781i,-0.015585+0.11565i,0.046687+0.10695i,0.095406+0.067205i,0.11643+0.0079468i,0.10365-0.053618i,0.031719+0.12179i,0.090308+0.087655i,0.12268+0.028073i,0.11944-0.039658i,0.081527-0.095876i,0.019946-0.12426i,-0.047425-0.11658i,-0.10103-0.075047i,0.10154-0.070231i,0.050359-0.11272i,-0.015439-0.12249i,-0.076755-0.096701i,-0.11579-0.042839i,-0.12121+0.023459i,-0.091445+0.082947i,-0.035133+0.11836i,-0.10874-0.055921i,-0.12197+0.0086163i,-0.099795+0.070652i,-0.04865+0.11218i,0.016617+0.12114i,0.077061+0.094934i,0.11513+0.041169i,0.11978-0.024547i,-0.008975+0.1362i,0.062999+0.12109i,0.11669+0.070825i,0.1365,0.11669-0.070825i,0.062999-0.12109i,-0.008975-0.1362i,-0.078344-0.11178i,0.12115-0.027195i,0.089459-0.086111i,0.031793-0.12003i,-0.035102-0.1191i,-0.091807-0.083603i,-0.12186-0.023832i,-0.11654+0.042857i,-0.077386+0.097105i
0.014604-0.055925i,-0.016534-0.055385i,-0.042872-0.038767i,-0.056764-0.010895i,-0.054178+0.02014i,-0.035864+0.045328i,-0.0071393+0.057358i,0.023658+0.052737i,-0.091529-0.013844i,-0.085427+0.035657i,-0.054526+0.074808i,-0.0077961+0.092242i,0.041197+0.082898i,0.078231+0.049489i,0.092555+0.0017142i,0.08001-0.046559i,0.015378+0.12942i,0.080297+0.10265i,0.12191+0.04609i,0.12813-0.023854i,0.097152-0.086873i,0.037975-0.12467i,-0.032227-0.12628i,-0.093073-0.09123i,0.13849-0.072898i,0.080563-0.13418i,-0.00075027-0.1565i,-0.081846-0.1334i,-0.13918-0.071567i,-0.15611+0.011039i,-0.12773+0.09044i,-0.06226+0.14359i,-0.129-0.10371i,-0.16408-0.021719i,-0.15154+0.066573i,-0.094999+0.13554i,-0.010883+0.16516i,0.076392+0.14683i,0.14149+0.085881i,0.16552,-0.04212+0.14782i,0.040694+0.14822i,0.1117+0.10559i,0.15027+0.03231i,0.14522-0.050352i,0.098019-0.1184i,0.022359-0.15207i,-0.059792-0.1416i,0.12012-0.011078i,0.096934-0.071796i,0.045612-0.11167i,-0.018952-0.11913i,-0.078014-0.092004i,-0.11443-0.03817i,-0.11763+0.026744i,-0.086675+0.083895i,-0.031947-0.070842i,-0.064068-0.043982i,-0.07759-0.0043553i,-0.068588+0.036536i,-0.039675+0.066821i,0.00075585+0.077709i,0.040967+0.066037i,0.069286+0.035195i
0.12393-0.0013951i,0.10522-0.065496i,0.055961-0.11058i,-0.0095406-0.12357i,-0.072273-0.10068i,-0.11402-0.048569i,-0.12267+0.017645i,-0.095713+0.078736i,-0.12482-0.0045016i,-0.10904+0.06092i,-0.061605+0.10866i,0.0037156+0.12485i,0.067958+0.1048i,0.11247+0.054328i,0.12434-0.011917i,0.10011-0.074702i,0.12511+0.010498i,0.11239-0.05594i,0.067055-0.10614i,0.0022494-0.12553i,-0.063209-0.10847i,-0.11032-0.059931i,-0.1254+0.0060089i,-0.10408+0.070204i,-0.12476-0.016514i,-0.11522+0.050619i,-0.072233+0.10306i,-0.0082749+0.12558i,0.058086+0.11164i,0.10758+0.065301i,0.12585,0.10758-0.065301i,0.1238+0.022468i,0.11749-0.045028i,0.07707-0.099453i,0.01428-0.12501i,-0.052655-0.11427i,-0.10431-0.070364i,-0.12568-0.0060295i,-0.11056+0.060055i,-0.12222-0.028281i,-0.11916+0.039242i,-0.081499+0.095373i,-0.020183+0.12382i,0.046992+0.11632i,0.10053+0.075052i,0.12488+0.011998i,0.11298-0.054538i,0.12006+0.033874i,0.12021-0.03334i,0.085465-0.090876i,0.025907-0.12203i,-0.041172-0.11776i,-0.096298-0.079304i,-0.12347-0.017827i,-0.1148+0.048826i,-0.11735-0.039176i,-0.12065+0.027402i,-0.088917+0.086026i,-0.031375+0.11968i,0.035276+0.11858i,0.091686+0.083068i,0.12148+0.023438i,0.11601-0.042997i
0.0043639+0.10994i,0.060777+0.091722i,0.099547+0.046873i,0.10942-0.011583i,0.087527-0.066677i,0.040226-0.10241i,-0.018753-0.10842i,-0.072287-0.082953i,-0.063302+0.104i,-0.00015063+0.12175i,0.063044+0.10416i,0.10794+0.056327i,0.1215-0.007855i,0.099786-0.069756i,0.049108-0.11141i,-0.015827-0.12072i,-0.11824+0.056264i,-0.071883+0.10945i,-0.0046593+0.13086i,0.063917+0.11428i,0.11394+0.064531i,0.13088-0.003955i,0.10983-0.071293i,0.056899-0.11793i,-0.13478-0.01784i,-0.12448+0.054684i,-0.078034+0.11133i,-0.0089395+0.13566i,0.062751+0.12061i,0.11622+0.070545i,0.13596,0.11622-0.070545i,-0.10343-0.088067i,-0.13411-0.021619i,-0.12586+0.051106i,-0.081076+0.10899i,-0.012754+0.13524i,0.059271+0.12223i,0.11409+0.073734i,0.13579+0.0038338i,-0.037639-0.12511i,-0.09709-0.087417i,-0.12836-0.024351i,-0.12236+0.045784i,-0.080844+0.10263i,-0.015859+0.12968i,0.05373+0.11909i,0.10772+0.073921i,0.033722-0.11671i,-0.031731-0.11727i,-0.087972-0.083783i,-0.11868-0.025975i,-0.11493+0.039373i,-0.077817+0.093291i,-0.018116+0.12013i,0.046844+0.11209i,0.083274-0.072284i,0.033681-0.105i,-0.02569-0.10724i,-0.077603-0.078341i,-0.10699-0.026704i,-0.10531+0.032685i,-0.073069+0.082586i,-0.019612+0.10851i
0.11031-0.047785i,0.069507-0.098088i,0.008523-0.11992i,-0.054935-0.10693i,-0.10245-0.062907i,-0.12022-0.00061987i,-0.10309+0.061847i,-0.056035+0.10636i,0.11899+0.037523i,0.12119-0.029667i,0.088208-0.088244i,0.029618-0.1212i,-0.037571-0.11898i,-0.093853-0.082215i,-0.12289-0.021584i,-0.11625+0.045313i,0.049108+0.11105i,0.099599+0.069446i,0.12118+0.0076871i,0.10758-0.056303i,0.062747-0.10395i,-0.00029703-0.12142i,-0.063255-0.10364i,-0.10785-0.055776i,-0.053431+0.12037i,0.016781+0.13062i,0.082121+0.10295i,0.12362+0.0454i,0.12924-0.025333i,0.097332-0.088713i,0.037174-0.12634i,-0.033776-0.12729i,-0.12144+0.053352i,-0.076134+0.10862i,-0.0087218+0.13236i,0.061222+0.11767i,0.11339+0.068827i,0.13265,0.11339-0.068827i,0.061222-0.11767i,-0.1119-0.048694i,-0.12093+0.016437i,-0.094845+0.076797i,-0.041231+0.11486i,0.024353+0.11958i,0.082867+0.089591i,0.11733+0.033589i,0.11772-0.032163i,-0.037617-0.11953i,-0.09418-0.082666i,-0.1234-0.0218i,-0.1168+0.045395i,-0.076294+0.099411i,-0.013639+0.12457i,0.052977+0.11356i,0.10421+0.069593i,0.04806-0.11132i,-0.016677-0.1201i,-0.076572-0.094013i,-0.11424-0.040636i,-0.11874+0.024537i,-0.088775+0.082587i,-0.033037+0.11666i,0.032291+0.11687i
0.089109+0.039649i,0.096748-0.012342i,0.076301-0.060751i,0.033704-0.091524i,-0.018677-0.095727i,-0.065636-0.072142i,-0.093542-0.027613i,-0.094292+0.024931i,0.099808-0.06595i,0.051102-0.10817i,-0.01244-0.11898i,-0.07237-0.095256i,-0.11129-0.043879i,-0.11791+0.020236i,-0.090292+0.078477i,-0.036466+0.11394i,0.0014496-0.13448i,-0.068539-0.11571i,-0.11863-0.063355i,-0.13429+0.0073959i,-0.11096+0.075999i,-0.055417+0.12254i,0.016209+0.13351i,0.083131+0.10572i,-0.11652-0.078414i,-0.14029-0.0065744i,-0.12334+0.067174i,-0.070583+0.12142i,0.0026643+0.14042i,0.075139+0.11866i,0.1258+0.062447i,0.13994-0.011892i,-0.12861+0.0565i,-0.080625+0.11503i,-0.0092363+0.14017i,0.064834+0.12462i,0.12008+0.072887i,0.14047,0.12008-0.072887i,0.064834-0.12462i,-0.02217+0.13425i,0.050704+0.12626i,0.10886+0.081627i,0.13541+0.013295i,0.12266-0.058896i,0.074293-0.11399i,0.0043628-0.13599i,-0.066834-0.11852i,0.087894+0.086552i,0.12005+0.028383i,0.11735-0.038025i,0.080585-0.093394i,0.020429-0.12165i,-0.045658-0.11459i,-0.098491-0.07427i,-0.12273-0.012386i,0.097989-0.017313i,0.074783-0.065644i,0.029867-0.094918i,-0.023719-0.096638i,-0.070419-0.070305i,-0.096677-0.023561i,-0.09487+0.030021i,-0.065522+0.074889i
