-0.15288-0.1584i,-0.25099-0.024276i,-0.20946+0.15008i,-0.052797+0.22818i,0.041269+0.23533i,0.20879+0.17586i,0.27616,0.18954-0.15851i,0.10891-0.21852i,-0.065179-0.26708i,-0.2205-0.16158i,-0.23995+0.014007i,-0.20708+0.10339i,-0.095716+0.23752i,0.082208+0.2372i,0.18838+0.11149i
0.22182+0.10555i,0.24581-0.025628i,0.19704-0.15029i,0.089931-0.23077i,-0.24644-0.055691i,-0.24008+0.081064i,-0.16267+0.19419i,-0.037552+0.2496i,0.25376,0.21658-0.13221i,0.11554-0.22496i,-0.018615-0.25055i,-0.24294+0.054411i,-0.17838+0.17256i,-0.061724+0.23875i,0.07138+0.23356i
0.10224-0.22645i,-0.036381-0.24689i,-0.16413-0.18836i,-0.23932-0.069679i,-0.035682+0.24718i,0.10403+0.228i,0.21077+0.13553i,0.24967+6.8633e-005i,-0.035951-0.24618i,-0.1642-0.18877i,-0.24074-0.070279i,-0.24027+0.070887i,0.10361+0.22734i,0.21101+0.13568i,0.251,0.21056-0.13529i
0.067198-0.1348i,-0.01567-0.17975i,-0.13131-0.14193i,-0.18053-0.015278i,-0.2551+0.078199i,-0.18933+0.24331i,-0.0025681+0.317i,0.17745+0.22769i,0.23159+0.17724i,0.32449,0.25475-0.19259i,0.084411-0.2668i,-0.013345-0.19901i,-0.14872-0.15342i,-0.19757-0.032415i,-0.15629+0.062385i
-0.18994+0.040255i,-0.14022+0.15391i,-0.033986+0.21171i,0.078445+0.19515i,0.039355-0.27088i,-0.12441-0.26448i,-0.25021-0.15709i,-0.28234+0.00020103i,0.23967+0.152i,0.29779,0.24786-0.16071i,0.10967-0.25518i,-0.16978+0.11629i,-0.084703+0.19385i,0.038299+0.20327i,0.14342+0.13154i
0.042839+0.24002i,0.16574+0.18013i,0.23341+0.061946i,0.22294-0.071311i,-0.077721-0.24516i,-0.19979-0.1677i,-0.25775-0.034471i,-0.23128+0.10696i,0.10783+0.22922i,0.21927+0.13909i,0.26162,0.21876-0.13886i,-0.12477-0.19677i,-0.21877-0.10224i,-0.24382+0.031899i,-0.18865+0.15799i
-0.19125-0.14281i,-0.26029-0.035848i,-0.24345+0.085275i,-0.15437+0.16271i,0.21313+0.12108i,0.27047,0.23614-0.1269i,0.12902-0.20035i,-0.19697-0.12547i,-0.26446-0.013832i,-0.24258+0.11663i,-0.13852+0.20294i,0.20651+0.083379i,0.25441-0.023498i,0.21932-0.13932i,0.11296-0.20644i
-0.20509-0.082289i,-0.26616-0.024823i,-0.26153+0.062819i,-0.1905+0.10788i,0.1893+0.12167i,0.26807+0.091049i,0.29192,0.22911-0.072046i,-0.16412-0.14959i,-0.23885-0.13753i,-0.279-0.05536i,-0.23248+0.029278i,0.12262+0.15812i,0.19026+0.16328i,0.24698+0.097588i,0.22625+0.0070417i
-0.21354-0.094839i,-0.24512+0.020452i,-0.18702+0.1295i,-0.076075+0.16749i,0.23526+0.1255i,0.29353,0.25236-0.13867i,0.13399-0.21235i,-0.20067-0.14361i,-0.28221-0.034645i,-0.27179+0.10753i,-0.17357+0.20416i,0.13497+0.12425i,0.21982+0.04786i,0.23221-0.072147i,0.16207-0.16572i
0.20564+0.12449i,0.25861+0.021175i,0.23918-0.09892i,0.1559-0.18012i,-0.21216-0.1177i,-0.26076-0.010755i,-0.2353+0.10895i,-0.14808+0.18592i,0.21799+0.10992i,0.26161,0.23022-0.1184i,0.13976-0.19061i,-0.22292-0.1013i,-0.26112+0.010828i,-0.22407+0.12705i,-0.13119+0.19414i
0.14071+0.16621i,0.26338+0.003052i,0.16948-0.19974i,-0.053521-0.21358i,-0.05073-0.22331i,-0.2519-0.12207i,-0.25441+0.11816i,-0.047973+0.22846i,-0.053977+0.22241i,0.17715+0.21635i,0.28209,0.14598-0.1834i,0.13705-0.16786i,-0.066664-0.25381i,-0.2414-0.11345i,-0.20449+0.090743i
0.20696-0.20869i,0.075455-0.32033i,-0.10706-0.32232i,-0.24924-0.20428i,-0.10799-0.039711i,-0.14286+0.024741i,-0.11727+0.1071i,-0.033714+0.15052i,-0.12937+0.061166i,-0.071243+0.13155i,0.012332+0.13967i,0.067239+0.093998i,0.2762+0.17208i,0.34518,0.28659-0.17439i,0.13727-0.26556i
0.016972+0.22545i,0.13432+0.2104i,0.22946+0.12665i,0.26301,0.18107-0.15057i,0.08786-0.23329i,-0.038097-0.24858i,-0.14892-0.19067i,-0.25147-0.0096272i,-0.23368+0.11893i,-0.14573+0.21642i,-0.020858+0.24704i,0.13755+0.22225i,0.22664+0.1275i,0.24757+0.0048014i,0.20106-0.10019i
0.032325+0.20291i,0.11429+0.17633i,0.16497+0.11111i,0.17308+0.034371i,0.077737+0.24567i,0.18065+0.2006i,0.24409+0.10718i,0.24886-0.004525i,0.1709+0.22267i,0.27233+0.13152i,0.30552,0.26154-0.12334i,0.15432+0.14274i,0.22454+0.074648i,0.24902-0.026928i,0.21039-0.12747i
-0.12652-0.19172i,-0.21562-0.1064i,-0.24194+0.018875i,-0.19203+0.13558i,-0.17827+0.18187i,-0.061486+0.25889i,0.082564+0.25382i,0.19454+0.16725i,0.22025+0.13423i,0.2679,0.22723-0.13947i,0.11604-0.22635i,0.070972-0.22708i,-0.058617-0.23821i,-0.17151-0.17123i,-0.22321-0.056043i
0.083821-0.22064i,-0.040255-0.2377i,-0.15799-0.18754i,-0.23439-0.082133i,-0.0092445+0.25266i,0.12225+0.22448i,0.22116+0.13145i,0.25778,-0.07631-0.2461i,-0.19138-0.17255i,-0.25155-0.05035i,-0.23986+0.084357i,0.14876+0.20033i,0.22759+0.095595i,0.24092-0.032883i,0.18729-0.14765i
-0.16359-0.22733i,-0.26482-0.13199i,-0.29816+0.0097482i,-0.24472+0.14724i,0.16856+0.084174i,0.19544-0.029236i,0.16076-0.13053i,0.088575-0.195i,-0.093934-0.18933i,-0.16289-0.12286i,-0.194-0.021339i,-0.16408+0.090733i,0.25074+0.1396i,0.3001,0.26187-0.14181i,0.15601-0.23486i
0.17134+0.17163i,0.2429+0.070096i,0.24374-0.060428i,0.17356-0.16612i,-0.15218-0.19515i,-0.23803-0.10046i,-0.25645+0.031571i,-0.19884+0.14664i,0.12593+0.21208i,0.22366+0.12841i,0.25946,0.21667-0.12064i,-0.095423-0.22038i,-0.20122-0.15056i,-0.25243-0.030436i,-0.22521+0.091314i
-0.11437-0.20931i,-0.21387-0.13783i,-0.25683-0.018953i,-0.22495+0.1027i,0.13085+0.20341i,0.22499+0.12274i,0.25768,0.21551-0.11821i,-0.14667-0.19534i,-0.23415-0.10625i,-0.25612+0.018879i,-0.20427+0.13225i,0.16147+0.18522i,0.24115+0.08868i,0.25217-0.03731i,0.19148-0.14458i
0.13145-0.20129i,0.033487-0.2654i,-0.06903-0.26591i,-0.16135-0.21162i,0.19405-0.098559i,0.15513-0.18087i,0.087549-0.22658i,-0.0054106-0.23465i,0.23066-0.057411i,0.19915-0.14823i,0.13103-0.20172i,0.036696-0.21334i,0.24447+0.099348i,0.27782,0.25525-0.10105i,0.16497-0.18402i
-0.16792-0.15271i,-0.25382-0.061213i,-0.25861+0.062688i,-0.17696+0.15906i,0.13382+0.19155i,0.24004+0.12105i,0.27176,0.21157-0.11276i,-0.10817-0.20942i,-0.22003-0.15498i,-0.26604-0.03893i,-0.21987+0.082988i,0.029513+0.22559i,0.15235+0.21029i,0.23219+0.11701i,0.2287-0.0084991i
-0.21939-0.074412i,-0.23119+0.049632i,-0.17211+0.16335i,-0.059254+0.2263i,0.11995+0.23309i,0.22785+0.13954i,0.26778,0.22473-0.1382i,0.077942-0.24999i,-0.065925-0.25849i,-0.19162-0.18616i,-0.25648-0.058487i,-0.20294+0.11043i,-0.11585+0.20477i,0.008237+0.2352i,0.12595+0.19415i
0.1588+0.17659i,0.23077+0.080388i,0.24118-0.039759i,0.18801-0.14588i,-0.14933-0.20465i,-0.23612-0.11072i,-0.26148+0.016881i,-0.21588+0.13868i,0.13337+0.21259i,0.22772+0.12499i,0.26215,0.22677-0.12351i,-0.10516-0.20923i,-0.20092-0.13831i,-0.24605-0.025006i,-0.2244+0.095336i
-0.13809+0.20392i,-0.0145+0.24568i,0.11245+0.21766i,0.20598+0.12878i,0.011999-0.25274i,-0.11886-0.224i,-0.2161-0.13184i,-0.2517-0.0032479i,0.12147+0.22192i,0.21871+0.12964i,0.25451,0.2183-0.12943i,-0.21326-0.12293i,-0.24805+0.0030212i,-0.21258+0.12969i,-0.11651+0.22007i
